date,time,asset,direction,gale_level,is_win,Flat (No MG)_pnl,Flat + Skip 2L_pnl,MG Next Signal (x1.5)_pnl,MG Next Signal (x2)_pnl,MG Next Signal (x3.0)_pnl,MG1 (x1.5)_pnl,MG1 (x2)_pnl,MG1 (x2.5)_pnl,MG1 (x3.0)_pnl,MG2 (x1.5)_pnl,MG2 (x2)_pnl,MG2 (x2.5)_pnl,MG2 (x3.0)_pnl,MG2 + Stop 1L_pnl,Masaniello_pnl,Masaniello (cap $1000)_pnl,Masaniello (cap $2000)_pnl,Masaniello (cap $500)_pnl,Soros (3-level cap)_pnl,Soros (Anti-MG)_pnl
2025-04-21,17:35,USDMYR_otc,PUT,2,False,-10.0,-10.0,-10.0,-10.0,-10.0,-25.0,-30.0,-35.0,-40.0,-47.5,-70.0,-97.5,-130.0,-70.0,-50.0,-90.91,-90.91,-90.91,-10.0,-10.0
2025-04-21,18:00,USDCHF_otc,CALL,2,True,-10.0,-10.0,-15.0,-20.0,-30.0,-25.0,-30.0,-35.0,-40.0,-5.2,5.2,20.0,39.2,0,44.0,84.21,84.21,84.21,8.8,8.8
2025-04-21,18:25,CHFNOK_otc,PUT,0,True,8.8,0,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0,44.0,83.33,83.33,83.33,16.54,16.54
2025-04-21,18:45,AUDNZD_otc,CALL,1,True,-10.0,0,-10.0,-10.0,-10.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,0,44.0,82.35,82.35,82.35,31.1,31.1
2025-04-21,19:05,USDEGP_otc,CALL,1,True,-10.0,0,-15.0,-20.0,-30.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,0,44.0,81.25,81.25,81.25,8.8,8.8
2025-04-21,19:25,USDINR_otc,CALL,0,True,8.8,0,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0,44.0,80.0,80.0,80.0,16.54,16.54
2025-04-21,19:45,USDDZD_otc,PUT,0,True,8.8,0,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0,44.0,78.57,78.57,78.57,31.1,31.1
2025-04-21,22:35,AUDCHF_otc,CALL,1,True,-10.0,0,-10.0,-10.0,-10.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,0,44.0,76.92,76.92,76.92,8.8,8.8
2025-04-21,23:00,EURUSD_otc,PUT,2,False,-10.0,0,-15.0,-20.0,-30.0,-25.0,-30.0,-35.0,-40.0,-47.5,-70.0,-97.5,-130.0,0,-50.0,-85.23,-85.23,-85.23,-18.8,-18.8
2025-04-21,23:25,GBPUSD_otc,PUT,1,True,-10.0,0,-10.0,-10.0,-10.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,0,44.0,81.82,81.82,81.82,8.8,8.8
2025-04-21,23:45,USDCLP_otc,PUT,2,False,-10.0,0,-15.0,-20.0,-30.0,-25.0,-30.0,-35.0,-40.0,-47.5,-70.0,-97.5,-130.0,0,-50.0,-90.91,-90.91,-90.91,-18.8,-18.8
2025-04-22,00:10,AUDCHF_otc,CALL,0,True,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,44.0,80.0,80.0,80.0,8.8,8.8
2025-04-22,00:25,EURNZD_otc,CALL,1,True,-10.0,-10.0,-10.0,-10.0,-10.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,7.6,44.0,78.95,78.95,78.95,16.54,16.54
2025-04-22,00:45,GBPUSD_otc,CALL,0,True,8.8,8.8,13.2,17.6,26.4,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,44.0,77.78,77.78,77.78,31.1,31.1
2025-04-22,01:00,EURRUB_otc,PUT,0,True,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,44.0,76.47,76.47,76.47,8.8,8.8
2025-04-22,01:15,QARCNY_otc,PUT,2,False,-10.0,-10.0,-10.0,-10.0,-10.0,-25.0,-30.0,-35.0,-40.0,-47.5,-70.0,-97.5,-130.0,-70.0,-50.0,-85.23,-85.23,-85.23,-18.8,-18.8
2025-04-22,09:35,USDMXN_otc,PUT,0,True,8.8,8.8,13.2,17.6,26.4,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,0,44.0,80.0,80.0,80.0,8.8,8.8
2025-04-22,10:25,EURCHF_otc,PUT,1,True,-10.0,-10.0,-10.0,-10.0,-10.0,3.2,7.6,12.0,16.4,3.2,7.6,12.0,16.4,0,44.0,78.57,78.57,78.57,16.54,16.54
