asset,trades,wins,losses,win_rate
EURUSD_otc,900,785,115,87.2
AUDUSD_otc,732,644,88,88.0
USDCAD_otc,662,580,82,87.6
GBPUSD_otc,619,543,76,87.7
USDCHF_otc,505,429,76,85.0
USDJPY_otc,484,417,67,86.2
NZDUSD_otc,434,386,48,88.9
EURCHF_otc,273,230,43,84.2
AUDCHF_otc,237,210,27,88.6
AUDCAD_otc,207,183,24,88.4
AUDNZD_otc,195,169,26,86.7
USDARS_otc,152,134,18,88.2
CADCHF_otc,130,114,16,87.7
USDBDT_otc,121,107,14,88.4
CHFJPY_otc,102,91,11,89.2
USDBRL_otc,100,82,18,82.0
CADJPY_otc,98,83,15,84.7
USDCOP_otc,91,82,9,90.1
USDCNH_otc,90,76,14,84.4
AEDCNY_otc,87,76,11,87.4
EURNZD_otc,86,76,10,88.4
EURGBP_otc,81,69,12,85.2
EURRUB_otc,74,63,11,85.1
USDPKR_otc,73,64,9,87.7
USDCLP_otc,72,60,12,83.3
USDDZD_otc,71,61,10,85.9
USDINR_otc,65,60,5,92.3
USDMXN_otc,65,60,5,92.3
GBPJPY_otc,64,55,9,85.9
EURTRY_otc,64,54,10,84.4
USDRUB_otc,63,52,11,82.5
EURJPY_otc,60,48,12,80.0
USDIDR_otc,58,50,8,86.2
GBPAUD_otc,57,51,6,89.5
QARCNY_otc,51,48,3,94.1
USDPHP_otc,51,45,6,88.2
TNDUSD_otc,51,46,5,90.2
EURHUF_otc,51,44,7,86.3
LBPUSD_otc,50,45,5,90.0
USDEGP_otc,48,37,11,77.1
USDMYR_otc,46,42,4,91.3
BHDCNY_otc,46,38,8,82.6
CHFNOK_otc,43,40,3,93.0
USDSGD_otc,42,39,3,92.9
NZDJPY_otc,42,37,5,88.1
JODCNY_otc,42,36,6,85.7
MADUSD_otc,41,36,5,87.8
OMRCNY_otc,40,36,4,90.0
SARCNY_otc,39,35,4,89.7
AUDJPY,15,12,3,80.0
AUDCAD,12,12,0,100.0
AUDUSD,9,9,0,100.0
EURUSD,9,9,0,100.0
AUDCHF,9,6,3,66.7
EURCAD,8,7,1,87.5
GBPAUD,8,7,1,87.5
USDCAD,5,5,0,100.0
GBPCHF,5,5,0,100.0
IRRUSD_otc,5,5,0,100.0
USDVND_otc,5,5,0,100.0
CHFJPY,4,4,0,100.0
EURGBP,4,3,1,75.0
NGNUSD_otc,4,4,0,100.0
USDTHB_otc,4,4,0,100.0
GBPUSD,3,3,0,100.0
EURJPY,3,3,0,100.0
UAHUSD_otc,3,3,0,100.0
SYPUSD_otc,3,2,1,66.7
KESUSD_otc,3,2,1,66.7
GBPCAD,2,2,0,100.0
AUDJPY_otc,2,1,1,50.0
USDJPY,2,2,0,100.0
EURCHF,2,1,1,50.0
YERUSD_otc,1,1,0,100.0
EURAUD,1,1,0,100.0
ZARUSD_otc,1,1,0,100.0
USDCHF,1,0,1,0.0
CADJPY,1,1,0,100.0
