date,Flat (No MG)_pnl,Flat + Skip 2L_pnl,MG Next Signal (x1.5)_pnl,MG Next Signal (x2)_pnl,MG Next Signal (x3.0)_pnl,MG1 (x1.5)_pnl,MG1 (x2)_pnl,MG1 (x2.5)_pnl,MG1 (x3.0)_pnl,MG2 (x1.5)_pnl,MG2 (x2)_pnl,MG2 (x2.5)_pnl,MG2 (x3.0)_pnl,MG2 + Stop 1L_pnl,Masaniello_pnl,Masaniello (cap $1000)_pnl,Masaniello (cap $2000)_pnl,Masaniello (cap $500)_pnl,Soros (3-level cap)_pnl,Soros (Anti-MG)_pnl
2025-04-21,-53.6,-20.0,-73.6,-93.6,-133.6,-60.8,-63.2,-65.6,-68.0,-108.5,-148.0,-198.1,-258.8,-70.0,202.0,381.41,381.41,381.41,82.89,82.89
2025-04-22,6.8,19.2,14.4,22.0,37.2,41.0,52.4,63.8,75.2,-26.5,-67.6,-123.7,-194.8,-36.0,592.13,954.22,954.22,954.22,204.59,204.59
2025-04-23,-20.8,-20.0,-0.0,20.8,62.4,-58.0,-70.4,-82.8,-95.2,18.5,65.6,129.7,210.8,-12.8,648.6,988.07,988.07,988.07,328.68,328.68
2025-04-24,-40.8,-2.4,-57.0,-73.2,-105.6,-108.0,-130.4,-152.8,-175.2,-76.5,-74.4,-65.3,-49.2,-30.8,571.6,965.16,965.16,965.16,308.68,308.68
2025-04-25,18.0,-20.0,35.0,52.0,86.0,-30.6,-46.8,-63.0,-79.2,26.1,54.0,94.5,147.6,-70.0,631.0,994.77,994.77,994.77,272.23,272.23
2025-04-26,-18.4,-20.0,-29.0,-39.6,-60.8,2.6,9.6,16.6,23.6,19.7,40.0,64.1,92.0,17.2,566.0,899.0,899.0,899.0,263.43,263.43
2025-04-27,-49.6,-12.4,-47.6,-45.6,-41.6,-4.0,11.2,26.4,41.6,-9.4,1.6,11.4,20.0,-3.2,610.93,975.59,975.59,975.59,271.03,271.03
2025-04-28,100.8,100.8,114.0,127.2,153.6,69.0,58.4,47.8,37.2,1.5,-61.6,-139.7,-232.8,-61.2,592.13,994.8,994.8,994.8,243.43,243.43
2025-04-29,-23.2,-20.0,-25.6,-28.0,-32.8,22.4,37.6,52.8,68.0,-67.6,-122.4,-197.2,-292.0,-30.8,530.4,952.05,952.05,952.05,194.59,194.59
2025-04-30,-39.6,14.0,-46.4,-53.2,-66.8,-91.8,-109.2,-126.6,-144.0,-122.4,-163.6,-211.6,-266.4,-5.6,460.0,867.01,867.01,867.01,202.33,202.33
2025-05-01,-33.2,-3.6,-58.8,-84.4,-135.6,-30.8,-30.0,-29.2,-28.4,-81.2,-119.6,-169.2,-230.0,-18.0,539.2,1074.03,1074.03,1074.03,298.68,298.68
2025-05-02,-66.0,-20.0,-72.8,-79.6,-93.2,-146.4,-173.2,-200.0,-226.8,-114.9,-117.2,-112.5,-100.8,-26.8,422.0,737.73,737.73,737.73,170.44,170.44
2025-05-03,6.8,-21.2,18.8,30.8,54.8,41.0,52.4,63.8,75.2,58.1,82.8,111.3,143.6,82.8,684.59,1010.64,1010.64,1010.64,328.68,328.68
2025-05-04,11.6,-11.2,24.2,36.8,62.0,21.2,24.4,27.6,30.8,60.8,94.8,137.6,189.2,94.8,528.0,848.05,848.05,848.05,225.79,225.79
2025-05-05,-63.2,-20.0,-75.6,-88.0,-112.8,-49.4,-44.8,-40.2,-35.6,-80.0,-99.2,-125.2,-158.0,-70.0,577.72,1047.95,1047.95,1047.95,380.47,380.47
2025-05-06,-46.0,-3.6,-47.8,-49.6,-53.2,44.6,74.8,105.0,135.2,64.4,110.0,160.0,214.4,110.0,614.86,940.9,940.9,940.9,265.69,265.69
2025-05-07,0.4,6.4,-10.2,-20.8,-42.0,-20.0,-26.8,-33.6,-40.4,16.9,38.8,68.9,107.2,17.2,566.0,899.0,899.0,899.0,263.43,263.43
2025-05-08,14.4,-2.4,3.2,-8.0,-30.4,-22.8,-35.2,-47.6,-60.0,-73.2,-124.8,-187.6,-261.6,-52.4,570.4,983.52,983.52,983.52,194.59,194.59
2025-05-09,-34.4,-11.2,-46.2,-58.0,-81.6,-75.2,-88.8,-102.4,-116.0,-128.3,-183.2,-249.9,-328.4,-43.2,538.0,988.12,988.12,988.12,279.88,279.88
2025-05-10,-30.8,6.4,-37.6,-44.4,-58.0,-26.6,-25.2,-23.8,-22.4,-54.5,-74.8,-101.3,-134.0,-38.4,592.13,964.65,964.65,964.65,195.79,195.79
2025-05-11,-19.6,-20.0,-30.8,-42.0,-64.4,-13.6,-11.6,-9.6,-7.6,-19.0,-21.2,-24.6,-29.2,-70.0,560.0,981.04,981.04,981.04,262.23,262.23
2025-05-12,-37.2,-12.4,-39.0,-40.8,-44.4,-144.0,-179.6,-215.2,-250.8,-112.5,-123.6,-127.7,-124.8,-34.4,378.0,715.7,715.7,715.7,91.69,91.69
2025-05-13,-57.2,-11.2,-77.8,-98.4,-139.6,-109.4,-126.8,-144.2,-161.6,-97.7,-106.0,-111.7,-114.8,-2.8,466.0,802.85,802.85,802.85,195.79,195.79
2025-05-14,-4.4,-11.2,2.6,9.6,23.6,-0.2,1.2,2.6,4.0,-28.1,-48.4,-74.9,-107.6,-29.6,636.12,984.52,984.52,984.52,325.22,325.22
2025-05-15,-20.8,-2.4,-32.0,-43.2,-65.6,-29.8,-32.8,-35.8,-38.8,-15.4,-7.2,4.2,18.8,-44.8,629.8,984.41,984.41,984.41,245.69,245.69
2025-05-16,-22.0,4.0,-28.8,-35.6,-49.2,-17.8,-16.4,-15.0,-13.6,-3.4,9.2,25.0,44.0,-8.0,647.4,986.87,986.87,986.87,309.88,309.88
2025-05-17,-22.0,-20.0,-28.8,-35.6,-49.2,-46.0,-54.0,-62.0,-70.0,-54.1,-68.4,-84.5,-102.4,-39.6,600.93,969.46,969.46,969.46,261.03,261.03
2025-05-18,-19.6,-20.0,-21.4,-23.2,-26.8,-41.8,-49.2,-56.6,-64.0,-69.7,-98.8,-134.1,-175.6,-0.4,466.0,829.6,829.6,829.6,195.79,195.79
