trade_num,Flat (No MG),Flat + Skip 2L,MG Next Signal (x1.5),MG Next Signal (x2),MG Next Signal (x3.0),MG1 (x1.5),MG1 (x2),MG1 (x2.5),MG1 (x3.0),MG2 (x1.5),MG2 (x2),MG2 (x2.5),MG2 (x3.0),MG2 + Stop 1L,Masaniello,Masaniello (cap $1000),Masaniello (cap $2000),Masaniello (cap $500),Soros (3-level cap),Soros (Anti-MG)
1,-10.0,-10.0,-10.0,-10.0,-10.0,-25.0,-30.0,-35.0,-40.0,-47.5,-70.0,-97.5,-130.0,-70.0,-50.0,-90.91,-90.91,-90.91,-10.0,-10.0
2,-20.0,-20.0,-25.0,-30.0,-40.0,-50.0,-60.0,-70.0,-80.0,-52.7,-64.8,-77.5,-90.8,-61.2,-6.0,-6.7,-6.7,-6.7,-1.2,-1.2
3,-11.2,-11.2,-16.2,-21.2,-31.2,-41.2,-51.2,-61.2,-71.2,-43.9,-56.0,-68.7,-82.0,-53.6,38.0,76.63,76.63,76.63,15.34,15.34
4,-21.2,-21.2,-26.2,-31.2,-41.2,-38.0,-43.6,-49.2,-54.8,-40.7,-48.4,-56.7,-65.6,-44.8,82.0,158.99,158.99,158.99,46.45,46.45
5,-31.2,-12.4,-41.2,-51.2,-71.2,-34.8,-36.0,-37.2,-38.4,-37.5,-40.8,-44.7,-49.2,-36.0,126.0,240.24,240.24,240.24,55.25,55.25
6,-22.4,-3.6,-32.4,-42.4,-62.4,-26.0,-27.2,-28.4,-29.6,-28.7,-32.0,-35.9,-40.4,-106.0,170.0,320.24,320.24,320.24,71.79,71.79
7,-13.6,-13.6,-23.6,-33.6,-53.6,-17.2,-18.4,-19.6,-20.8,-19.9,-23.2,-27.1,-31.6,-100.8,214.0,398.81,398.81,398.81,102.89,102.89
8,-23.6,-4.8,-33.6,-43.6,-63.6,-14.0,-10.8,-7.6,-4.4,-16.7,-15.6,-15.1,-15.2,-95.6,258.0,475.73,475.73,475.73,111.69,111.69
9,-33.6,-14.8,-48.6,-63.6,-93.6,-39.0,-40.8,-42.6,-44.4,-64.2,-85.6,-112.6,-145.2,-86.8,208.0,390.5,390.5,390.5,92.89,92.89
10,-43.6,-6.0,-58.6,-73.6,-103.6,-35.8,-33.2,-30.6,-28.0,-61.0,-78.0,-100.6,-128.8,-79.2,252.0,472.32,472.32,472.32,101.69,101.69
11,-53.6,2.8,-73.6,-93.6,-133.6,-60.8,-63.2,-65.6,-68.0,-108.5,-148.0,-198.1,-258.8,-70.4,202.0,381.41,381.41,381.41,82.89,82.89
12,-44.8,11.6,-64.8,-84.8,-124.8,-52.0,-54.4,-56.8,-59.2,-99.7,-139.2,-189.3,-250.0,-62.8,246.0,461.41,461.41,461.41,91.69,91.69
13,-54.8,20.4,-74.8,-94.8,-134.8,-48.8,-46.8,-44.8,-42.8,-96.5,-131.6,-177.3,-233.6,-54.0,290.0,540.36,540.36,540.36,108.24,108.24
14,-46.0,10.4,-61.6,-77.2,-108.4,-40.0,-38.0,-36.0,-34.0,-87.7,-122.8,-168.5,-224.8,-48.8,334.0,618.14,618.14,618.14,139.34,139.34
15,-37.2,19.2,-52.8,-68.4,-99.6,-31.2,-29.2,-27.2,-25.2,-78.9,-114.0,-159.7,-216.0,-118.8,378.0,694.61,694.61,694.61,148.14,148.14
16,-47.2,9.2,-62.8,-78.4,-109.6,-56.2,-59.2,-62.2,-65.2,-126.4,-184.0,-257.2,-346.0,-110.0,328.0,609.38,609.38,609.38,129.34,129.34
17,-38.4,-0.8,-49.6,-60.8,-83.2,-47.4,-50.4,-53.4,-56.4,-117.6,-175.2,-248.4,-337.2,-101.2,372.0,689.38,689.38,689.38,138.14,138.14
18,-48.4,-10.8,-59.6,-70.8,-93.2,-44.2,-42.8,-41.4,-40.0,-114.4,-167.6,-236.4,-320.8,-93.6,416.0,767.95,767.95,767.95,154.68,154.68
19,-39.6,-20.8,-46.4,-53.2,-66.8,-35.4,-34.0,-32.6,-31.2,-105.6,-158.8,-227.6,-312.0,-88.4,460.0,844.88,844.88,844.88,185.79,185.79
20,-30.8,-12.0,-37.6,-44.4,-58.0,-26.6,-25.2,-23.8,-22.4,-96.8,-150.0,-218.8,-303.2,-79.6,504.0,919.88,919.88,919.88,194.59,194.59
21,-22.0,-3.2,-28.8,-35.6,-49.2,-17.8,-16.4,-15.0,-13.6,-88.0,-141.2,-210.0,-294.4,-149.6,548.0,992.6,992.6,992.6,211.13,211.13
22,-13.2,-13.2,-20.0,-26.8,-40.4,-9.0,-7.6,-6.2,-4.8,-79.2,-132.4,-201.2,-285.6,-219.6,592.0,1062.6,1062.6,1062.6,242.23,242.23
23,-23.2,-23.2,-30.0,-36.8,-50.4,-5.8,-0.0,5.8,11.6,-76.0,-124.8,-189.2,-269.2,-212.0,636.0,1129.27,1129.27,1129.27,251.03,251.03
24,-14.4,-33.2,-16.8,-19.2,-24.0,3.0,8.8,14.6,20.4,-67.2,-116.0,-180.4,-260.4,-206.8,680.0,1191.77,1191.77,1191.77,267.58,267.58
25,-24.4,-43.2,-26.8,-29.2,-34.0,-22.0,-21.2,-20.4,-19.6,-114.7,-186.0,-277.9,-390.4,-198.0,630.0,1126.84,1126.84,1126.84,232.23,232.23
26,-34.4,-53.2,-41.8,-49.2,-64.0,-18.8,-13.6,-8.4,-3.2,-111.5,-178.4,-265.9,-374.0,-190.4,674.0,1193.5,1193.5,1193.5,241.03,241.03
27,-25.6,-63.2,-33.0,-40.4,-55.2,-10.0,-4.8,0.4,5.6,-102.7,-169.6,-257.1,-365.2,-182.8,718.0,1253.5,1253.5,1253.5,257.58,257.58
28,-16.8,-54.4,-24.2,-31.6,-46.4,-1.2,4.0,9.2,14.4,-93.9,-160.8,-248.3,-356.4,-175.2,762.0,1303.5,1303.5,1303.5,288.68,288.68
29,-26.8,-64.4,-34.2,-41.6,-56.4,2.0,11.6,21.2,30.8,-90.7,-153.2,-236.3,-340.0,-167.6,795.33,1336.84,1336.84,1336.84,297.48,297.48
30,-36.8,-55.6,-49.2,-61.6,-86.4,-23.0,-18.4,-13.8,-9.2,-138.2,-223.2,-333.8,-470.0,-158.8,785.33,1326.84,1326.84,1326.84,278.68,278.68
31,-46.8,-65.6,-59.2,-71.6,-96.4,-19.8,-10.8,-1.8,7.2,-135.0,-215.6,-321.8,-453.6,-150.0,794.13,1335.64,1335.64,1335.64,287.48,287.48
32,-56.8,-75.6,-74.2,-91.6,-126.4,-44.8,-40.8,-36.8,-32.8,-140.2,-210.4,-301.8,-414.4,-141.2,838.13,1415.64,1415.64,1415.64,304.02,304.02
