date,combined_pnl,combined_cumulative,tyl_vip_pnl,tyl_vip_cumulative,tyl_trading_pnl,tyl_trading_cumulative,sinais_mil_pnl,sinais_mil_cumulative,blacklist_pnl,blacklist_cumulative
2021-11-28,58.71,58.71,0,0.0,0,0.0,0,0.0,58.71,58.71
2021-12-11,-15.0,43.71,0,0.0,0,0.0,0,0.0,-15.0,43.71
2021-12-12,55.45,99.16,0,0.0,0,0.0,0,0.0,55.45,99.16
2021-12-18,19.84,119.0,0,0.0,0,0.0,0,0.0,19.84,119.0
2021-12-19,39.95,158.95,0,0.0,0,0.0,0,0.0,39.95,158.95
2021-12-21,59.26,218.21,0,0.0,0,0.0,0,0.0,59.26,218.21
2022-01-22,61.07,279.28,0,0.0,0,0.0,0,0.0,61.07,279.28
2022-01-29,63.49,342.77,0,0.0,0,0.0,0,0.0,63.49,342.77
2022-01-30,65.89,408.66,0,0.0,0,0.0,0,0.0,65.89,408.66
2022-02-04,22.56,431.22,0,0.0,0,0.0,0,0.0,22.56,431.22
2022-02-05,64.08,495.3,0,0.0,0,0.0,0,0.0,64.08,495.3
2022-02-06,37.87,533.17,0,0.0,0,0.0,0,0.0,37.87,533.17
2022-03-05,65.87,599.04,0,0.0,0,0.0,0,0.0,65.87,599.04
2022-03-25,13.2,612.24,0,0.0,0,0.0,0,0.0,13.2,612.24
2022-03-26,65.89,678.13,0,0.0,0,0.0,0,0.0,65.89,678.13
2022-03-27,63.33,741.46,0,0.0,0,0.0,0,0.0,63.33,741.46
2022-04-02,86.23,827.69,0,0.0,0,0.0,0,0.0,86.23,827.69
2022-04-03,35.76,863.45,0,0.0,0,0.0,0,0.0,35.76,863.45
2022-04-08,19.84,883.29,0,0.0,0,0.0,0,0.0,19.84,883.29
2022-04-09,73.22,956.51,0,0.0,0,0.0,0,0.0,73.22,956.51
2022-04-10,21.68,978.19,0,0.0,0,0.0,0,0.0,21.68,978.19
2022-04-15,35.76,1013.95,0,0.0,0,0.0,0,0.0,35.76,1013.95
2022-04-16,46.48,1060.43,0,0.0,0,0.0,0,0.0,46.48,1060.43
2022-04-17,48.84,1109.27,0,0.0,0,0.0,0,0.0,48.84,1109.27
2022-04-22,19.84,1129.11,0,0.0,0,0.0,0,0.0,19.84,1129.11
2022-04-23,69.54,1198.65,0,0.0,0,0.0,0,0.0,69.54,1198.65
2022-04-24,19.84,1218.49,0,0.0,0,0.0,0,0.0,19.84,1218.49
2022-04-29,21.68,1240.17,0,0.0,0,0.0,0,0.0,21.68,1240.17
2022-04-30,61.96,1302.13,0,0.0,0,0.0,0,0.0,61.96,1302.13
2022-05-06,28.49,1330.62,0,0.0,0,0.0,0,0.0,28.49,1330.62
2022-05-07,61.91,1392.53,0,0.0,0,0.0,0,0.0,61.91,1392.53
2022-05-08,58.05,1450.58,0,0.0,0,0.0,0,0.0,58.05,1450.58
2022-05-20,3.52,1454.1,0,0.0,0,0.0,0,0.0,3.52,1454.1
2022-05-21,78.71,1532.81,0,0.0,0,0.0,0,0.0,78.71,1532.81
2022-05-28,78.55,1611.36,0,0.0,0,0.0,0,0.0,78.55,1611.36
2022-06-03,19.84,1631.2,0,0.0,0,0.0,0,0.0,19.84,1631.2
2022-06-04,79.43,1710.63,0,0.0,0,0.0,0,0.0,79.43,1710.63
2022-06-05,19.84,1730.47,0,0.0,0,0.0,0,0.0,19.84,1730.47
2022-06-10,35.76,1766.23,0,0.0,0,0.0,0,0.0,35.76,1766.23
2022-06-11,60.07,1826.3,0,0.0,0,0.0,0,0.0,60.07,1826.3
2022-06-12,60.07,1886.37,0,0.0,0,0.0,0,0.0,60.07,1886.37
2022-06-17,13.2,1899.57,0,0.0,0,0.0,0,0.0,13.2,1899.57
2022-06-18,72.39,1971.96,0,0.0,0,0.0,0,0.0,72.39,1971.96
2022-06-19,13.2,1985.16,0,0.0,0,0.0,0,0.0,13.2,1985.16
2022-07-03,62.71,2047.87,0,0.0,0,0.0,0,0.0,62.71,2047.87
2022-07-26,13.2,2061.07,0,0.0,0,0.0,0,0.0,13.2,2061.07
2022-07-27,35.76,2096.83,0,0.0,0,0.0,0,0.0,35.76,2096.83
2022-07-28,13.2,2110.03,0,0.0,0,0.0,0,0.0,13.2,2110.03
2022-07-29,13.2,2123.23,0,0.0,0,0.0,0,0.0,13.2,2123.23
2022-08-03,19.84,2143.07,0,0.0,0,0.0,0,0.0,19.84,2143.07
2022-08-06,22.56,2165.63,0,0.0,0,0.0,0,0.0,22.56,2165.63
2022-08-25,59.41,2225.04,0,0.0,0,0.0,36.85,36.85,22.56,2188.19
2022-08-26,25.54,2250.58,0,0.0,0,0.0,25.54,62.39,0,2188.19
2022-08-29,26.75,2277.33,0,0.0,0,0.0,26.75,89.14,0,2188.19
2022-08-30,10.88,2288.21,0,0.0,0,0.0,10.88,100.02,0,2188.19
2022-08-31,30.65,2318.86,0,0.0,0,0.0,30.65,130.67,0,2188.19
2022-09-05,25.61,2344.47,0,0.0,0,0.0,25.61,156.28,0,2188.19
2022-09-06,25.25,2369.72,0,0.0,0,0.0,25.25,181.53,0,2188.19
2022-09-07,11.89,2381.61,0,0.0,0,0.0,11.89,193.42,0,2188.19
2022-09-08,1.45,2383.06,0,0.0,0,0.0,1.45,194.87,0,2188.19
2022-09-09,34.44,2417.5,0,0.0,0,0.0,34.44,229.31,0,2188.19
2022-09-12,18.36,2435.86,0,0.0,0,0.0,18.36,247.67,0,2188.19
2022-09-13,34.67,2470.53,0,0.0,0,0.0,34.67,282.34,0,2188.19
2022-09-14,23.96,2494.49,0,0.0,0,0.0,23.96,306.3,0,2188.19
2022-09-15,14.18,2508.67,0,0.0,0,0.0,14.18,320.48,0,2188.19
2022-09-16,11.89,2520.56,0,0.0,0,0.0,11.89,332.37,0,2188.19
2022-09-19,31.44,2552.0,0,0.0,0,0.0,31.44,363.81,0,2188.19
2022-09-20,32.1,2584.1,0,0.0,0,0.0,32.1,395.91,0,2188.19
2022-09-21,27.25,2611.35,0,0.0,0,0.0,27.25,423.16,0,2188.19
2022-09-22,23.29,2634.64,0,0.0,0,0.0,23.29,446.45,0,2188.19
2022-09-23,32.11,2666.75,0,0.0,0,0.0,32.11,478.56,0,2188.19
2022-09-26,30.9,2697.65,0,0.0,0,0.0,30.9,509.46,0,2188.19
2022-09-27,33.6,2731.25,0,0.0,0,0.0,33.6,543.06,0,2188.19
2022-09-28,31.44,2762.69,0,0.0,0,0.0,31.44,574.5,0,2188.19
2022-09-29,21.58,2784.27,0,0.0,0,0.0,21.58,596.08,0,2188.19
2022-09-30,19.47,2803.74,0,0.0,0,0.0,19.47,615.55,0,2188.19
2022-10-03,25.16,2828.9,0,0.0,0,0.0,25.16,640.71,0,2188.19
2022-10-04,37.0,2865.9,0,0.0,0,0.0,37.0,677.71,0,2188.19
2022-10-05,34.6,2900.5,0,0.0,0,0.0,34.6,712.31,0,2188.19
2022-10-06,29.74,2930.24,0,0.0,0,0.0,29.74,742.05,0,2188.19
2022-10-07,32.18,2962.42,0,0.0,0,0.0,32.18,774.23,0,2188.19
2022-10-10,32.96,2995.38,0,0.0,0,0.0,32.96,807.19,0,2188.19
2022-10-11,32.14,3027.52,0,0.0,0,0.0,32.14,839.33,0,2188.19
2022-10-12,27.8,3055.32,0,0.0,0,0.0,27.8,867.13,0,2188.19
2022-10-13,33.2,3088.52,0,0.0,0,0.0,33.2,900.33,0,2188.19
2022-10-14,32.96,3121.48,0,0.0,0,0.0,32.96,933.29,0,2188.19
2022-10-17,35.6,3157.08,0,0.0,0,0.0,35.6,968.89,0,2188.19
2022-10-18,34.32,3191.4,0,0.0,0,0.0,34.32,1003.21,0,2188.19
2022-10-19,32.2,3223.6,0,0.0,0,0.0,32.2,1035.41,0,2188.19
2022-10-20,31.32,3254.92,0,0.0,0,0.0,31.32,1066.73,0,2188.19
2022-10-21,29.34,3284.26,0,0.0,0,0.0,29.34,1096.07,0,2188.19
2022-10-24,21.24,3305.5,0,0.0,0,0.0,21.24,1117.31,0,2188.19
