hour,trades,wins,losses,win_rate
00:00,233,206,27,88.4
01:00,52,39,13,75.0
02:00,2,1,1,50.0
03:00,6,4,2,66.7
04:00,5,4,1,80.0
05:00,6,4,2,66.7
06:00,662,578,84,87.3
07:00,366,327,39,89.3
08:00,11,10,1,90.9
09:00,954,836,118,87.6
10:00,698,606,92,86.8
11:00,242,220,22,90.9
12:00,41,33,8,80.5
13:00,6,6,0,100.0
14:00,681,576,105,84.6
15:00,309,270,39,87.4
16:00,36,32,4,88.9
17:00,224,197,27,87.9
18:00,476,409,67,85.9
19:00,878,769,109,87.6
20:00,376,327,49,87.0
21:00,37,33,4,89.2
22:00,947,831,116,87.8
23:00,741,650,91,87.7
