date,tyl_vip_pnl,tyl_vip_cumulative,tyl_trading_pnl,tyl_trading_cumulative,sinais_mil_pnl,sinais_mil_cumulative,blacklist_pnl,blacklist_cumulative
2021-11-28,0,0.0,0,0.0,0,0.0,-56.12,-56.12
2021-12-11,0,0.0,0,0.0,0,0.0,-40.2,-96.32
2021-12-12,0,0.0,0,0.0,0,0.0,-6.9,-103.22
2021-12-18,0,0.0,0,0.0,0,0.0,5.28,-97.94
2021-12-19,0,0.0,0,0.0,0,0.0,-12.15,-110.09
2021-12-21,0,0.0,0,0.0,0,0.0,7.46,-102.63
2022-01-22,0,0.0,0,0.0,0,0.0,-62.11,-164.74
2022-01-29,0,0.0,0,0.0,0,0.0,27.2,-137.54
2022-01-30,0,0.0,0,0.0,0,0.0,-2.41,-139.95
2022-02-04,0,0.0,0,0.0,0,0.0,10.81,-129.14
2022-02-05,0,0.0,0,0.0,0,0.0,-4.1,-133.24
2022-02-06,0,0.0,0,0.0,0,0.0,-66.37,-199.61
2022-03-05,0,0.0,0,0.0,0,0.0,12.73,-186.88
2022-03-25,0,0.0,0,0.0,0,0.0,4.4,-182.48
2022-03-26,0,0.0,0,0.0,0,0.0,-2.46,-184.94
2022-03-27,0,0.0,0,0.0,0,0.0,12.74,-172.2
2022-04-02,0,0.0,0,0.0,0,0.0,22.82,-149.38
2022-04-03,0,0.0,0,0.0,0,0.0,14.7,-134.68
2022-04-08,0,0.0,0,0.0,0,0.0,5.28,-129.4
2022-04-09,0,0.0,0,0.0,0,0.0,-22.62,-152.02
2022-04-10,0,0.0,0,0.0,0,0.0,9.93,-142.09
2022-04-15,0,0.0,0,0.0,0,0.0,15.59,-126.5
2022-04-16,0,0.0,0,0.0,0,0.0,-30.53,-157.03
2022-04-17,0,0.0,0,0.0,0,0.0,4.36,-152.67
2022-04-22,0,0.0,0,0.0,0,0.0,5.56,-147.11
2022-04-23,0,0.0,0,0.0,0,0.0,-86.08,-233.19
2022-04-24,0,0.0,0,0.0,0,0.0,5.28,-227.91
2022-04-29,0,0.0,0,0.0,0,0.0,9.93,-217.98
2022-04-30,0,0.0,0,0.0,0,0.0,-21.5,-239.48
2022-05-06,0,0.0,0,0.0,0,0.0,6.98,-232.5
2022-05-07,0,0.0,0,0.0,0,0.0,-23.88,-256.38
2022-05-08,0,0.0,0,0.0,0,0.0,6.38,-250.0
2022-05-20,0,0.0,0,0.0,0,0.0,-75.06,-325.06
2022-05-21,0,0.0,0,0.0,0,0.0,5.03,-320.03
2022-05-28,0,0.0,0,0.0,0,0.0,39.84,-280.19
2022-06-03,0,0.0,0,0.0,0,0.0,5.56,-274.63
2022-06-04,0,0.0,0,0.0,0,0.0,40.21,-234.42
2022-06-05,0,0.0,0,0.0,0,0.0,5.34,-229.08
2022-06-10,0,0.0,0,0.0,0,0.0,14.7,-214.38
2022-06-11,0,0.0,0,0.0,0,0.0,27.24,-187.14
2022-06-12,0,0.0,0,0.0,0,0.0,27.24,-159.9
2022-06-17,0,0.0,0,0.0,0,0.0,4.4,-155.5
2022-06-18,0,0.0,0,0.0,0,0.0,39.56,-115.94
2022-06-19,0,0.0,0,0.0,0,0.0,4.4,-111.54
2022-07-03,0,0.0,0,0.0,0,0.0,29.88,-81.66
2022-07-26,0,0.0,0,0.0,0,0.0,4.4,-77.26
2022-07-27,0,0.0,0,0.0,0,0.0,14.7,-62.56
2022-07-28,0,0.0,0,0.0,0,0.0,4.4,-58.16
2022-07-29,0,0.0,0,0.0,0,0.0,4.4,-53.76
2022-08-03,0,0.0,0,0.0,0,0.0,5.28,-48.48
2022-08-06,0,0.0,0,0.0,0,0.0,10.53,-37.95
