month,Flat (No MG)_pnl,Flat + Skip 2L_pnl,MG Next Signal (x1.5)_pnl,MG Next Signal (x2)_pnl,MG Next Signal (x3.0)_pnl,MG1 (x1.5)_pnl,MG1 (x2)_pnl,MG1 (x2.5)_pnl,MG1 (x3.0)_pnl,MG2 (x1.5)_pnl,MG2 (x2)_pnl,MG2 (x2.5)_pnl,MG2 (x3.0)_pnl,MG2 + Stop 1L_pnl,Masaniello_pnl,Masaniello (cap $1000)_pnl,Masaniello (cap $2000)_pnl,Masaniello (cap $500)_pnl,Soros (3-level cap)_pnl,Soros (Anti-MG)_pnl
2025-04,-120.4,19.2,-115.8,-111.2,-102.0,-218.2,-250.8,-283.4,-316.0,-345.1,-476.4,-635.9,-823.6,-303.2,5404.8,8972.09,8972.09,8972.09,2371.89,2371.89
2025-05,-688.8,-238.0,-829.0,-969.2,-1249.6,-1249.8,-1436.8,-1623.8,-1810.8,-1451.4,-1795.2,-2183.8,-2617.2,-435.6,16228.94,26647.48,26647.48,26647.48,7251.88,7251.88
2025-06,-480.4,-161.2,-541.8,-603.2,-726.0,-721.0,-801.2,-881.4,-961.6,-721.0,-801.2,-881.4,-961.6,-550.0,16555.71,26916.3,26916.3,26916.3,7499.43,7499.43
2025-07,-461.2,-80.8,-569.6,-678.0,-894.8,-538.0,-563.6,-589.2,-614.8,-512.8,-518.8,-519.2,-514.0,-656.0,17439.37,28622.0,28622.0,28622.0,7835.81,7835.81
2025-08,-243.6,-118.0,-278.6,-313.6,-383.6,-886.2,-1100.4,-1314.6,-1528.8,-1248.9,-1745.2,-2322.1,-2979.6,-980.8,16675.54,27786.56,27786.56,27786.56,7289.53,7289.53
2025-09,-424.0,-17.6,-470.4,-516.8,-609.6,-538.0,-576.0,-614.0,-652.0,-423.7,-372.8,-296.5,-194.8,336.4,18046.52,28177.18,28177.18,28177.18,9475.66,9475.66
2025-10,58.8,462.0,36.0,13.2,-32.4,-279.0,-391.6,-504.2,-616.8,-859.5,-1423.6,-2116.7,-2938.8,-172.8,18617.33,29496.44,29496.44,29496.44,10973.15,10973.15
2025-11,-874.8,-251.6,-1004.8,-1134.8,-1394.8,-1504.8,-1714.8,-1924.8,-2134.8,-1659.6,-1990.0,-2354.8,-2754.0,-264.4,19150.68,29987.36,29987.36,29987.36,11218.38,11218.38
2025-12,-686.0,-216.4,-775.4,-864.8,-1043.6,-1102.4,-1241.2,-1380.0,-1518.8,-2123.9,-3057.2,-4217.5,-5604.8,-1012.4,18285.15,29571.33,29571.33,29571.33,10490.82,10490.82
2026-01,-697.2,-207.6,-782.0,-866.8,-1036.4,-994.2,-1093.2,-1192.2,-1291.2,-1115.7,-1309.2,-1529.7,-1777.2,-459.2,20016.39,31385.03,31385.03,31385.03,12315.52,12315.52
2026-02,-317.6,-21.6,-389.4,-461.2,-604.8,-605.0,-700.8,-796.6,-892.4,-1050.5,-1492.8,-2034.1,-2674.4,-433.2,17357.59,28063.56,28063.56,28063.56,10251.7,10251.7
2026-03,-544.4,-95.2,-707.6,-870.8,-1197.2,-682.4,-728.4,-774.4,-820.4,-939.8,-1186.0,-1489.4,-1850.0,-238.0,11107.17,18175.9,18175.9,18175.9,6395.84,6395.84
