date,trades,wins,losses,win_rate
2021-11-28,17,14,3,82.4
2021-12-11,1,0,1,0.0
2021-12-12,12,11,1,91.7
2021-12-18,2,2,0,100.0
2021-12-19,11,10,1,90.9
2021-12-21,16,14,2,87.5
2022-01-22,20,17,3,85.0
2022-01-29,35,30,5,85.7
2022-01-30,26,24,2,92.3
2022-02-04,4,4,0,100.0
2022-02-05,26,22,4,84.6
2022-02-06,17,14,3,82.4
2022-03-05,29,26,3,89.7
2022-03-25,1,1,0,100.0
2022-03-26,26,24,2,92.3
2022-03-27,28,25,3,89.3
2022-04-02,64,60,4,93.8
2022-04-03,5,5,0,100.0
2022-04-08,2,2,0,100.0
2022-04-09,40,35,5,87.5
2022-04-10,3,3,0,100.0
2022-04-15,5,5,0,100.0
2022-04-16,22,18,4,81.8
2022-04-17,18,15,3,83.3
2022-04-22,2,2,0,100.0
2022-04-23,55,47,8,85.5
2022-04-24,2,2,0,100.0
2022-04-29,3,3,0,100.0
2022-04-30,46,39,7,84.8
2022-05-06,6,5,1,83.3
2022-05-07,32,28,4,87.5
2022-05-08,22,19,3,86.4
2022-05-20,4,2,2,50.0
2022-05-21,50,44,6,88.0
2022-05-28,37,37,0,100.0
2022-06-03,2,2,0,100.0
2022-06-04,38,38,0,100.0
2022-06-05,2,2,0,100.0
2022-06-10,5,5,0,100.0
2022-06-11,16,16,0,100.0
2022-06-12,16,16,0,100.0
2022-06-17,1,1,0,100.0
2022-06-18,30,30,0,100.0
2022-06-19,1,1,0,100.0
2022-07-03,19,19,0,100.0
2022-07-26,1,1,0,100.0
2022-07-27,5,5,0,100.0
2022-07-28,1,1,0,100.0
2022-07-29,1,1,0,100.0
2022-08-03,2,2,0,100.0
2022-08-06,4,4,0,100.0
2022-08-25,26,24,2,92.3
2022-08-26,11,9,2,81.8
2022-08-29,14,12,2,85.7
2022-08-30,9,6,3,66.7
2022-08-31,23,19,4,82.6
2022-09-05,13,11,2,84.6
2022-09-06,20,16,4,80.0
2022-09-07,8,6,2,75.0
2022-09-08,17,10,7,58.8
2022-09-09,18,16,2,88.9
2022-09-12,9,7,2,77.8
2022-09-13,21,18,3,85.7
2022-09-14,14,10,4,71.4
2022-09-15,14,9,5,64.3
2022-09-16,8,6,2,75.0
2022-09-19,11,11,0,100.0
2022-09-20,19,17,2,89.5
2022-09-21,19,14,5,73.7
2022-09-22,11,8,3,72.7
2022-09-23,12,10,2,83.3
2022-09-26,12,11,1,91.7
2022-09-27,22,18,4,81.8
2022-09-28,17,16,1,94.1
2022-09-29,18,13,5,72.2
2022-09-30,17,13,4,76.5
2022-10-03,12,10,2,83.3
2022-10-04,28,23,5,82.1
2022-10-05,27,23,4,85.2
2022-10-06,23,20,3,87.0
2022-10-07,22,17,5,77.3
2022-10-10,17,15,2,88.2
2022-10-11,31,22,9,71.0
2022-10-12,15,13,2,86.7
2022-10-13,13,13,0,100.0
2022-10-14,23,20,3,87.0
2022-10-17,20,18,2,90.0
2022-10-18,20,17,3,85.0
2022-10-19,14,13,1,92.9
2022-10-20,13,12,1,92.3
2022-10-21,18,15,3,83.3
2022-10-24,24,16,8,66.7
2022-10-25,21,15,6,71.4
2022-10-26,21,18,3,85.7
2022-10-27,18,11,7,61.1
2022-10-28,16,15,1,93.8
2022-10-31,20,16,4,80.0
2022-11-01,22,14,8,63.6
2022-11-02,23,21,2,91.3
2022-11-03,26,23,3,88.5
2022-11-04,24,21,3,87.5
2022-11-07,15,11,4,73.3
2022-11-08,21,18,3,85.7
2022-11-09,20,18,2,90.0
2022-11-10,23,20,3,87.0
2022-11-11,23,21,2,91.3
2022-11-14,19,14,5,73.7
2022-11-15,21,15,6,71.4
2022-11-16,16,14,2,87.5
2022-11-17,14,13,1,92.9
2022-11-18,16,13,3,81.2
2022-11-21,17,16,1,94.1
2022-11-22,18,11,7,61.1
2022-11-23,13,10,3,76.9
2022-11-28,16,12,4,75.0
2022-11-29,22,19,3,86.4
2022-11-30,12,12,0,100.0
2022-12-01,14,10,4,71.4
2022-12-02,13,11,2,84.6
2022-12-05,19,17,2,89.5
2022-12-06,18,12,6,66.7
2022-12-07,12,11,1,91.7
2022-12-12,16,13,3,81.2
2022-12-14,14,12,2,85.7
2022-12-19,16,15,1,93.8
2022-12-20,18,16,2,88.9
2022-12-21,17,14,3,82.4
2022-12-22,20,15,5,75.0
2022-12-23,14,12,2,85.7
2022-12-27,15,12,3,80.0
2022-12-29,17,14,3,82.4
2023-01-02,20,15,5,75.0
2023-01-03,13,10,3,76.9
2023-01-04,15,12,3,80.0
2023-01-05,14,11,3,78.6
2023-01-06,24,22,2,91.7
2023-01-10,15,13,2,86.7
2023-01-12,21,17,4,81.0
2023-01-13,21,20,1,95.2
2023-01-16,15,14,1,93.3
2023-01-17,12,10,2,83.3
2023-01-19,15,12,3,80.0
2023-01-20,15,10,5,66.7
2023-01-23,15,12,3,80.0
2023-01-24,18,15,3,83.3
2023-01-26,14,14,0,100.0
2023-01-27,14,10,4,71.4
2023-01-30,9,8,1,88.9
2023-01-31,14,12,2,85.7
2023-02-01,12,11,1,91.7
2023-02-02,10,9,1,90.0
2023-02-07,14,12,2,85.7
2023-02-08,14,11,3,78.6
2023-02-10,10,8,2,80.0
2023-02-14,10,8,2,80.0
2023-02-15,9,7,2,77.8
2023-02-20,16,15,1,93.8
2023-02-21,19,14,5,73.7
2023-02-23,20,16,4,80.0
2023-02-24,18,13,5,72.2
2023-02-27,21,19,2,90.5
2023-02-28,15,14,1,93.3
2023-03-02,16,14,2,87.5
2023-03-03,17,15,2,88.2
2023-03-06,15,12,3,80.0
2023-03-08,9,9,0,100.0
2023-03-09,9,8,1,88.9
2023-03-10,9,8,1,88.9
2023-03-13,14,11,3,78.6
2023-03-14,12,10,2,83.3
2023-03-15,21,17,4,81.0
2023-03-16,17,13,4,76.5
2023-03-17,14,13,1,92.9
2023-03-20,11,10,1,90.9
2023-03-21,19,16,3,84.2
2023-03-22,19,14,5,73.7
2023-03-23,13,12,1,92.3
2023-03-28,15,13,2,86.7
2023-03-30,15,14,1,93.3
2023-04-03,10,8,2,80.0
2023-04-10,15,14,1,93.3
2023-04-11,13,12,1,92.3
2023-04-12,14,12,2,85.7
2023-04-17,10,9,1,90.0
2023-04-18,16,15,1,93.8
2023-04-19,14,12,2,85.7
2023-04-20,12,10,2,83.3
2023-04-24,13,11,2,84.6
2023-04-25,19,13,6,68.4
2023-05-03,9,7,2,77.8
2023-05-04,12,11,1,91.7
2023-05-09,11,9,2,81.8
2023-05-10,14,12,2,85.7
2023-05-15,9,7,2,77.8
2023-05-16,11,9,2,81.8
2023-05-18,14,11,3,78.6
2023-05-19,7,6,1,85.7
2023-05-22,10,7,3,70.0
2023-05-24,12,10,2,83.3
2023-05-26,11,7,4,63.6
2023-05-30,10,8,2,80.0
2023-05-31,15,14,1,93.3
2023-06-01,13,10,3,76.9
2023-06-12,18,16,2,88.9
2023-06-14,1,0,1,0.0
2023-06-15,12,9,3,75.0
2023-06-16,17,16,1,94.1
2023-06-19,18,16,2,88.9
2023-06-20,20,15,5,75.0
2023-06-21,20,18,2,90.0
2023-06-23,16,14,2,87.5
2023-06-26,14,13,1,92.9
2023-06-27,17,12,5,70.6
2023-06-29,24,21,3,87.5
2023-07-03,15,14,1,93.3
2023-07-05,24,22,2,91.7
2023-07-10,20,16,4,80.0
2023-07-19,22,20,2,90.9
2023-07-21,17,14,3,82.4
2023-07-24,24,20,4,83.3
2023-07-27,13,12,1,92.3
2023-07-28,17,14,3,82.4
2023-07-31,11,10,1,90.9
2023-08-04,30,24,6,80.0
2023-08-09,16,15,1,93.8
2023-08-14,17,14,3,82.4
2023-08-21,15,11,4,73.3
2023-08-29,26,22,4,84.6
2023-09-05,17,15,2,88.2
2023-09-13,1,0,1,0.0
2023-09-18,10,10,0,100.0
2023-09-25,1,0,1,0.0
2023-09-26,7,6,1,85.7
2023-10-09,8,4,4,50.0
2023-10-11,17,15,2,88.2
2023-10-12,7,6,1,85.7
2023-10-17,17,14,3,82.4
2023-10-18,13,11,2,84.6
2023-10-19,18,15,3,83.3
2023-10-31,15,12,3,80.0
2023-11-06,19,16,3,84.2
2023-11-08,14,13,1,92.9
2023-11-20,19,15,4,78.9
2023-11-21,25,20,5,80.0
2023-11-27,17,12,5,70.6
2023-11-29,16,14,2,87.5
2023-11-30,15,14,1,93.3
2023-12-04,12,11,1,91.7
2023-12-07,8,7,1,87.5
2023-12-12,15,12,3,80.0
2023-12-13,14,12,2,85.7
2023-12-14,20,18,2,90.0
2024-01-03,32,26,6,81.2
2024-01-04,19,14,5,73.7
2024-01-08,22,16,6,72.7
2024-01-10,2,0,2,0.0
2024-01-15,17,14,3,82.4
2024-01-18,12,10,2,83.3
2024-01-23,13,11,2,84.6
2024-01-24,16,15,1,93.8
2024-01-25,16,12,4,75.0
2024-02-06,13,11,2,84.6
2024-02-07,13,10,3,76.9
2024-02-08,7,6,1,85.7
2024-02-26,17,14,3,82.4
2024-02-27,17,14,3,82.4
2024-03-04,20,16,4,80.0
2024-03-05,18,13,5,72.2
2024-03-11,16,15,1,93.8
2024-03-18,19,14,5,73.7
2024-03-19,24,21,3,87.5
2024-04-01,14,12,2,85.7
2024-04-04,20,15,5,75.0
2024-04-10,16,12,4,75.0
2024-04-11,15,13,2,86.7
2024-04-16,15,13,2,86.7
2024-04-17,10,9,1,90.0
2025-01-20,17,15,2,88.2
2025-01-21,17,15,2,88.2
2025-01-22,17,16,1,94.1
2025-01-23,14,10,4,71.4
2025-01-24,13,12,1,92.3
2025-01-25,10,9,1,90.0
2025-01-26,11,7,4,63.6
2025-01-27,11,11,0,100.0
2025-01-28,11,10,1,90.9
2025-01-29,9,9,0,100.0
2025-01-30,13,10,3,76.9
2025-01-31,11,11,0,100.0
2025-02-01,9,9,0,100.0
2025-02-02,7,6,1,85.7
2025-02-03,20,14,6,70.0
2025-02-04,11,11,0,100.0
2025-02-05,9,9,0,100.0
2025-02-06,10,6,4,60.0
2025-02-07,9,8,1,88.9
2025-02-08,11,9,2,81.8
2025-02-09,8,7,1,87.5
2025-02-10,14,13,1,92.9
2025-02-11,5,5,0,100.0
2025-02-12,6,6,0,100.0
2025-02-13,6,6,0,100.0
2025-02-14,10,8,2,80.0
2025-02-15,7,6,1,85.7
2025-02-16,5,5,0,100.0
2025-02-17,10,8,2,80.0
2025-02-18,6,6,0,100.0
2025-02-19,10,8,2,80.0
2025-02-20,7,6,1,85.7
2025-02-21,7,7,0,100.0
2025-02-22,6,6,0,100.0
2025-02-23,6,6,0,100.0
2025-02-24,11,8,3,72.7
2025-02-25,17,12,5,70.6
2025-02-26,9,7,2,77.8
2025-02-27,7,6,1,85.7
2025-02-28,8,7,1,87.5
2025-03-01,7,5,2,71.4
2025-03-02,10,5,5,50.0
2025-03-03,8,8,0,100.0
2025-03-04,5,5,0,100.0
2025-03-05,10,7,3,70.0
2025-03-06,11,7,4,63.6
2025-03-07,6,6,0,100.0
2025-03-08,5,5,0,100.0
2025-03-09,6,6,0,100.0
2025-03-10,7,6,1,85.7
2025-03-11,7,7,0,100.0
2025-03-12,6,6,0,100.0
2025-03-13,6,4,2,66.7
2025-03-14,11,10,1,90.9
2025-03-15,6,6,0,100.0
2025-03-16,6,6,0,100.0
2025-03-17,17,14,3,82.4
2025-03-18,26,24,2,92.3
2025-03-19,13,11,2,84.6
2025-03-20,20,20,0,100.0
2025-03-21,9,7,2,77.8
2025-03-22,6,6,0,100.0
2025-03-23,6,6,0,100.0
2025-03-24,6,6,0,100.0
2025-03-25,6,6,0,100.0
2025-03-26,6,6,0,100.0
2025-03-27,6,6,0,100.0
2025-03-28,6,6,0,100.0
2025-03-29,8,7,1,87.5
2025-03-30,9,7,2,77.8
2025-03-31,11,9,2,81.8
2025-04-01,6,6,0,100.0
2025-04-02,8,6,2,75.0
2025-04-03,10,8,2,80.0
2025-04-04,9,8,1,88.9
2025-04-05,8,7,1,87.5
2025-04-06,7,6,1,85.7
2025-04-07,10,8,2,80.0
2025-04-08,14,8,6,57.1
2025-04-09,8,7,1,87.5
2025-04-10,11,9,2,81.8
2025-04-11,6,6,0,100.0
2025-04-12,6,6,0,100.0
2025-04-13,6,5,1,83.3
2025-04-14,12,10,2,83.3
2025-04-15,6,6,0,100.0
2025-04-16,7,6,1,85.7
2025-04-17,11,9,2,81.8
2025-04-18,7,6,1,85.7
2025-04-19,7,7,0,100.0
2025-04-20,10,8,2,80.0
2025-04-21,17,14,3,82.4
2025-04-22,28,24,4,85.7
2025-04-23,27,25,2,92.6
2025-04-24,27,24,3,88.9
2025-04-25,23,22,1,95.7
2025-04-26,22,19,3,86.4
2025-04-27,32,28,4,87.5
2025-04-28,27,24,3,88.9
2025-04-29,31,26,5,83.9
2025-04-30,27,22,5,81.5
2025-05-01,32,27,5,84.4
2025-05-02,22,19,3,86.4
2025-05-03,31,27,4,87.1
2025-05-04,20,18,2,90.0
2025-05-05,37,31,6,83.8
2025-05-06,20,20,0,100.0
2025-05-07,23,21,2,91.3
2025-05-08,32,26,6,81.2
2025-05-09,33,28,5,84.8
2025-05-10,26,23,3,88.5
2025-05-11,23,21,2,91.3
2025-05-12,21,18,3,85.7
2025-05-13,27,22,5,81.5
2025-05-14,32,27,5,84.4
2025-05-15,26,24,2,92.3
2025-05-16,26,22,4,84.6
2025-05-17,35,30,5,85.7
2025-05-18,24,20,4,83.3
2025-05-19,25,23,2,92.0
2025-05-20,29,25,4,86.2
2025-05-21,26,21,5,80.8
2025-05-22,35,26,9,74.3
2025-05-23,27,21,6,77.8
2025-05-24,24,22,2,91.7
2025-05-25,27,24,3,88.9
2025-05-26,33,28,5,84.8
2025-05-27,23,19,4,82.6
2025-05-28,27,19,8,70.4
2025-05-29,25,19,6,76.0
2025-05-30,27,26,1,96.3
2025-05-31,24,21,3,87.5
2025-06-01,25,24,1,96.0
2025-06-02,29,23,6,79.3
2025-06-03,25,23,2,92.0
2025-06-04,26,24,2,92.3
2025-06-05,25,22,3,88.0
2025-06-06,26,24,2,92.3
