strategy,traded,skipped,wins,losses,win_rate,net_pnl,roi_pct,max_drawdown,profit_factor,worst_day,best_day,max_consec_losses
Masaniello (cap $500),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello (cap $1000),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello (cap $2000),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello,837,0,757,80,90.4,20427.44,70.47,100.0,8.56,-50.0,988.2,2
Soros (Anti-MG),837,0,757,80,90.4,11982.3,69.52,55.34,8.07,-20.0,976.04,2
Soros (3-level cap),837,0,757,80,90.4,11982.3,69.52,55.34,8.07,-20.0,976.04,2
MG Next Signal (x3.0),837,0,587,250,70.1,3477.6,28.81,161.2,1.92,-61.6,318.4,6
MG Next Signal (x2),837,0,587,250,70.1,3071.6,30.05,112.8,1.98,-37.2,265.6,6
MG Next Signal (x1.5),837,0,587,250,70.1,2868.6,30.86,90.4,2.02,-36.0,264.0,6
Flat (No MG),837,0,587,250,70.1,2665.6,31.85,71.2,2.07,-34.8,264.0,6
Flat + Skip 2L,411,426,307,104,74.7,1661.6,40.43,61.6,2.6,-22.4,264.0,3
MG1 (x1.5),837,0,677,160,80.9,1453.6,11.99,320.8,1.36,-169.2,300.8,5
MG2 (x1.5),837,0,757,80,90.4,1237.6,7.87,537.3,1.33,-151.2,300.8,2
MG1 (x2),837,0,677,160,80.9,1049.6,7.85,570.4,1.22,-224.0,327.2,5
MG2 + Stop 1L,342,495,318,24,93.0,1015.2,15.43,666.8,1.6,-70.0,327.2,2
MG2 (x2),837,0,757,80,90.4,665.6,3.37,1060.8,1.12,-192.0,327.2,2
MG1 (x2.5),837,0,677,160,80.9,645.6,4.42,980.8,1.12,-278.8,353.6,5
MG1 (x3.0),837,0,677,160,80.9,241.6,1.52,1408.8,1.04,-333.6,380.0,5
MG2 (x2.5),837,0,757,80,90.4,45.6,0.19,1813.6,1.01,-264.1,384.8,2
MG2 (x3.0),837,0,757,80,90.4,-622.4,-2.06,2640.8,0.94,-369.2,485.2,2
