strategy,traded,skipped,wins,losses,win_rate,net_pnl,roi_pct,max_drawdown,profit_factor,worst_day,best_day,max_consec_losses
Masaniello (cap $500),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello (cap $1000),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello (cap $2000),837,0,757,80,90.4,32324.95,71.22,176.14,8.98,-90.91,1321.2,2
Masaniello,837,0,757,80,90.4,20427.44,70.47,100.0,8.56,-50.0,988.2,2
Soros (Anti-MG),837,0,757,80,90.4,11982.3,69.52,55.34,8.07,-20.0,976.04,2
Soros (3-level cap),837,0,757,80,90.4,11982.3,69.52,55.34,8.07,-20.0,976.04,2
MG1 (x3.0),837,0,757,80,90.4,4753.6,29.95,111.6,2.49,-54.8,482.0,2
MG1 (x2.5),837,0,757,80,90.4,4405.6,30.13,94.8,2.57,-49.2,436.0,2
MG1 (x2),837,0,757,80,90.4,4057.6,30.35,82.4,2.69,-43.6,390.0,2
MG1 (x1.5),837,0,757,80,90.4,3709.6,30.61,71.8,2.85,-38.0,344.0,2
MG Next Signal (x3.0),837,0,587,250,70.1,3477.6,28.81,161.2,1.92,-61.6,318.4,6
MG Next Signal (x2),837,0,587,250,70.1,3071.6,30.05,112.8,1.98,-37.2,265.6,6
MG Next Signal (x1.5),837,0,587,250,70.1,2868.6,30.86,90.4,2.02,-36.0,264.0,6
Flat (No MG),837,0,587,250,70.1,2665.6,31.85,71.2,2.07,-34.8,264.0,6
MG2 (x1.5),837,0,757,80,90.4,1909.6,13.72,327.3,1.5,-83.0,300.8,2
Flat + Skip 2L,411,426,307,104,74.7,1661.6,40.43,61.6,2.6,-22.4,264.0,3
MG2 + Stop 1L,342,495,318,24,93.0,1060.8,18.23,640.4,1.63,-70.0,327.2,2
MG2 (x2),837,0,757,80,90.4,857.6,5.18,883.2,1.15,-168.0,327.2,2
MG2 (x2.5),837,0,757,80,90.4,-594.4,-3.03,2405.6,0.92,-308.8,353.6,2
MG2 (x3.0),837,0,757,80,90.4,-2446.4,-10.6,4328.0,0.76,-489.6,380.0,2
