strategy,traded,skipped,wins,losses,win_rate,net_pnl,roi_pct,max_drawdown,profit_factor,worst_day,best_day,max_consec_losses
Masaniello (cap $500),3645,0,3019,626,82.8,165604.32,56.56,779.89,4.38,-394.56,1181.35,7
Masaniello (cap $1000),3645,0,3019,626,82.8,165604.32,56.56,779.89,4.38,-394.56,1181.35,7
Masaniello (cap $2000),3645,0,3019,626,82.8,165604.32,56.56,779.89,4.38,-394.56,1181.35,7
Masaniello,3645,0,3019,626,82.8,96144.09,56.18,406.0,4.32,-200.0,693.39,7
Soros (Anti-MG),3645,0,3019,626,82.8,40164.55,55.74,115.34,4.25,-48.8,406.23,7
Soros (3-level cap),3645,0,3019,626,82.8,40164.55,55.74,115.34,4.25,-48.8,406.23,7
MG Next Signal (x3.0),3645,0,3008,637,82.5,26233.2,55.4,161.2,4.2,-80.0,274.4,7
MG Next Signal (x2),3645,0,3008,637,82.5,23166.8,55.29,121.2,4.18,-60.0,221.6,7
MG Next Signal (x1.5),3645,0,3008,637,82.5,21633.6,55.22,101.2,4.17,-50.0,195.2,7
Flat (No MG),3645,0,3008,637,82.5,20100.4,55.15,81.2,4.16,-40.0,173.6,7
Flat + Skip 2L,3170,475,2631,539,83.0,17762.8,56.03,60.0,4.3,-22.4,173.6,6
MG1 (x1.5),3645,0,3019,626,82.8,10855.6,23.6,216.2,1.69,-100.0,151.0,7
MG1 (x2),3645,0,3019,626,82.8,7774.0,15.8,261.2,1.41,-122.0,146.0,7
MG1 (x2.5),3645,0,3019,626,82.8,4692.4,8.96,406.0,1.21,-157.0,141.0,7
MG1 (x3.0),3645,0,3019,626,82.8,1610.8,2.9,596.8,1.06,-196.8,136.0,7
