strategy,traded,skipped,wins,losses,win_rate,net_pnl,roi_pct,max_drawdown,profit_factor,worst_day,best_day,max_consec_losses
Masaniello (cap $500),5103,0,4433,670,86.9,269507.18,63.19,323.73,5.79,-136.75,1038.18,3
Masaniello (cap $1000),5103,0,4433,670,86.9,269507.18,63.19,323.73,5.79,-136.75,1038.18,3
Masaniello (cap $2000),5103,0,4433,670,86.9,269507.18,63.19,323.73,5.79,-136.75,1038.18,3
Masaniello,5103,0,4433,670,86.9,157163.69,63.23,162.0,5.8,-74.0,694.59,3
Soros (Anti-MG),5103,0,4433,670,86.9,65043.78,63.05,75.34,5.75,-58.8,369.78,3
Soros (3-level cap),5103,0,4433,670,86.9,65043.78,63.05,75.34,5.75,-58.8,369.78,3
MG1 (x3.0),5103,0,4015,1088,78.7,2976.4,2.33,6429.2,1.07,-265.6,170.4,6
MG1 (x2.5),5103,0,4015,1088,78.7,1952.8,1.7,5727.6,1.05,-229.4,142.6,6
MG1 (x2),5103,0,4015,1088,78.7,929.2,0.91,5026.0,1.03,-194.4,121.2,6
MG1 (x1.5),5103,0,4015,1088,78.7,-94.4,-0.11,4332.6,1.0,-162.6,119.0,6
Flat + Skip 2L,2327,2776,1205,1122,51.8,-616.0,-2.65,871.2,0.95,-23.6,120.8,9
Flat (No MG),5103,0,2546,2557,49.9,-3165.2,-6.2,3542.4,0.88,-123.6,120.8,11
MG Next Signal (x1.5),5103,0,2546,2557,49.9,-3897.2,-6.55,4352.6,0.87,-154.2,120.2,11
MG Next Signal (x2),5103,0,2546,2557,49.9,-4629.2,-6.82,5175.6,0.86,-184.8,136.0,11
MG2 + Stop 1L,2384,2719,2073,311,87.0,-5030.0,-7.45,5519.6,0.77,-70.0,156.4,4
MG Next Signal (x3.0),5103,0,2546,2557,49.9,-6093.2,-7.19,6830.8,0.86,-246.0,171.2,11
MG2 (x1.5),5103,0,4433,670,86.9,-6893.0,-6.05,7148.1,0.78,-238.6,138.8,3
MG2 (x2),5103,0,4433,670,86.9,-11157.2,-7.66,11425.6,0.76,-350.8,156.4,3
MG2 (x2.5),5103,0,4433,670,86.9,-16932.2,-9.25,17297.5,0.74,-511.4,230.4,3
MG2 (x3.0),5103,0,4433,670,86.9,-24218.0,-10.73,24760.4,0.72,-702.0,348.4,3
