strategy,traded,skipped,wins,losses,win_rate,net_pnl,roi_pct,max_drawdown,profit_factor,worst_day,best_day,max_consec_losses
Masaniello (cap $500),7989,0,6968,1021,87.2,313801.23,63.63,349.97,5.91,-120.58,1156.89,3
Masaniello (cap $1000),7989,0,6968,1021,87.2,313801.23,63.63,349.97,5.91,-120.58,1156.89,3
Masaniello (cap $2000),7989,0,6968,1021,87.2,313801.23,63.63,349.97,5.91,-120.58,1156.89,3
Masaniello,7989,0,6968,1021,87.2,194885.19,63.72,196.0,5.93,-43.6,791.39,3
Soros (Anti-MG),7989,0,6968,1021,87.2,103369.6,63.99,105.34,6.01,-52.35,564.47,3
Soros (3-level cap),7989,0,6968,1021,87.2,103369.6,63.99,105.34,6.01,-52.35,564.47,3
Flat + Skip 2L,1905,6084,964,941,50.6,-926.8,-4.87,971.2,0.9,-23.6,226.4,10
MG2 + Stop 1L,2426,5563,2112,314,87.1,-5169.2,-7.11,5322.4,0.76,-70.0,246.0,4
Flat (No MG),7989,0,3958,4031,49.5,-5479.6,-6.86,5494.8,0.86,-149.6,226.4,12
MG Next Signal (x1.5),7989,0,3958,4031,49.5,-6428.4,-6.89,6443.6,0.86,-195.2,235.2,12
MG Next Signal (x2),7989,0,3958,4031,49.5,-7377.2,-6.92,7406.4,0.86,-240.8,244.0,12
MG Next Signal (x3.0),7989,0,3958,4031,49.5,-9274.8,-6.95,9366.0,0.86,-332.0,261.6,12
MG1 (x1.5),7989,0,5966,2023,74.7,-9319.0,-6.64,9414.2,0.82,-240.8,196.4,7
MG1 (x2),7989,0,5966,2023,74.7,-10598.8,-6.6,10737.6,0.83,-292.0,186.4,7
MG1 (x2.5),7989,0,5966,2023,74.7,-11878.6,-6.57,12062.0,0.83,-343.2,196.2,7
MG2 (x1.5),7989,0,6968,1021,87.2,-12451.9,-6.7,12478.1,0.74,-426.2,188.4,3
MG1 (x3.0),7989,0,5966,2023,74.7,-13158.4,-6.55,13386.4,0.84,-394.4,235.6,7
MG2 (x2),7989,0,6968,1021,87.2,-16168.4,-6.7,16205.6,0.77,-621.6,246.0,3
MG2 (x2.5),7989,0,6968,1021,87.2,-20581.1,-6.7,20625.7,0.79,-858.2,377.6,3
MG2 (x3.0),7989,0,6968,1021,87.2,-25690.0,-6.71,25779.2,0.81,-1136.0,560.4,3
